section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572518459480,-0.426829,0.0,-2.987805,-0.030151,-0.90979,0.148743,9.040183737861526,9.071784776224092
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572523487480,-0.426829,-0.060976,-2.865854,-0.029419,-0.90863,0.150024,8.833315847172031,9.347437360705015
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572528515480,-0.182927,-0.060976,-2.865854,-0.025513,-0.90979,0.15033,8.392097996576496,9.40672591886269
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572533543480,-0.182927,0.0,-2.743902,-0.024841,-0.909363,0.149658,8.756900333526914,9.253642568599531
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572538571480,-0.182927,0.0,-2.743902,-0.026917,-0.910461,0.151672,8.617432150491794,9.549726394575998
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572543599480,-0.060976,0.0,-2.682927,-0.03064,-0.91095,0.150696,8.947372983471581,9.359628062554123
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572548627480,-0.243902,0.0,-2.743902,-0.02832,-0.908081,0.148438,8.556558827133586,9.202921776418975
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572553655480,-0.304878,-0.060976,-2.743902,-0.027954,-0.91156,0.149902,8.839862649657078,9.429223922169797
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572558683480,-0.0,-0.060976,-2.804878,-0.028992,-0.90802,0.153748,8.763437922956143,9.736548180253664
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572563711480,0.121951,-0.060976,-2.804878,-0.028503,-0.904785,0.15564,8.926666632320007,10.021785467856205
